排名,学校名称,省市,总分,生源质量（新生高考成绩得分）,培养结果（毕业生就业率）,科研规模（论文数量·篇）,科研质量（论文质量·FWCI）,顶尖成果（高被引论文·篇）,顶尖人才（高被引学者·人）,科技服务（企业科研经费·千元）,产学研合作（校企合作论文·篇）,成果转化（技术转让收入·千元）,
66,中国药科大学,江苏省,43.7,69.5,99.59%,4573,0.823,28,5,43652,53,3300,
67,西南交通大学,四川省,43.6,66.8,96.70%,6992,0.712,83,7,159788,137,150,
68,天津医科大学,天津市,43.3,73.7,89.07%,6104,0.796,46,2,2589,57,0,
69,西北农林科技大学,陕西省,42.8,64.9,94.57%,6958,0.879,64,3,84757,43,1750,
69,南京师范大学,江苏省,42.8,62.7,94.78%,4227,0.98,80,7,131461,20,1008,
71,西北大学,陕西省,42.5,68.2,81.74%,4466,1.014,76,——,88259,188,330,
72,江苏大学,江苏省,42.3,57.7,96.47%,8708,0.832,118,4,319860,23,6880,
73,浙江工业大学,浙江省,42.1,62.9,96.33%,5642,0.781,76,4,207475,47,380,
74,北京林业大学,北京市,42,68.9,94.29%,4053,0.759,38,4,41943,23,2100,
75,南京邮电大学,江苏省,41.9,61.9,99.22%,3424,0.877,88,——,149967,50,160,
75,南方医科大学,广东省,41.9,68.2,90.29%,6514,0.727,38,3,22313,61,36980,
75,陕西师范大学,陕西省,41.9,66.9,95.20%,3439,0.855,29,2,18330,77,396,
75,南京工业大学,江苏省,41.9,58.4,96.46%,5585,0.817,79,5,286933,81,50122,
79,北京工业大学,北京市,41.8,62.1,97.90%,7821,0.625,66,3,228537,82,37556,
80,燕山大学,河北省,41.5,69.0,90.02%,5006,0.621,31,1,247205,90,18489,
81,华南师范大学,广东省,41.4,60.4,93.11%,4797,0.975,73,5,57716,18,550,
82,河北工业大学,河北省,41.1,72.8,94.65%,2452,0.569,14,——,43048,26,15282,
83,北京中医药大学,北京市,41,72.3,92.27%,2002,0.678,12,1,6627,16,0,
83,浙江师范大学,浙江省,41,57.1,95.77%,3369,1.114,78,2,12676,15,340,
83,汕头大学,广东省,41,59.5,99.50%,2112,1.024,20,4,4149,13,0,
86,长安大学,陕西省,40.9,68.9,93.77%,3882,0.439,14,——,457406,85,17017,
87,沈阳药科大学,辽宁省,40.8,62.8,96.23%,2641,0.873,16,6,15169,24,200,
87,湘潭大学,湖南省,40.8,60.1,90.58%,3209,1.047,73,2,16282,18,16206,
89,大连海事大学,辽宁省,40.6,66.3,97.06%,2560,0.648,37,——,165756,14,7265,
90,浙江理工大学,浙江省,40.5,58.1,96.91%,2429,1.029,41,1,61662,16,6896,
91,杭州师范大学,浙江省,40.4,52.6,97.60%,2874,1.19,78,2,21422,23,0,
91,大连医科大学,辽宁省,40.4,67.9,95.13%,2668,0.644,17,4,2125,17,0,
93,河北大学,河北省,40.3,66.5,93.88%,2904,0.717,34,2,5008,20,4700,
94,杭州电子科技大学,浙江省,40.2,59.8,97.22%,2224,0.859,56,2,49893,29,24066,
94,中央民族大学,北京市,40.2,66.9,92.01%,726,0.857,13,——,6527,5,0,
96,安徽大学,安徽省,40,59.9,92.31%,4073,0.893,69,——,84235,18,2075,
97,山西大学,山西省,39.4,60.0,86.10%,2899,0.986,56,3,21594,6,570,
97,宁波大学,浙江省,39.4,56.9,98.42%,4045,0.809,53,4,24618,21,100,
97,石家庄铁道大学,河北省,39.4,66.2,98.67%,866,0.582,4,1,73125,7,1200,
100,扬州大学,江苏省,39.3,53.8,97.73%,4131,0.867,51,3,102943,12,34691,
101,湖北大学,湖北省,39.2,58.9,92.73%,4466,0.829,53,2,27971,17,100,
102,温州医科大学,浙江省,39,57.1,95.46%,3938,0.868,39,1,1296,22,0,
102,河北医科大学,河北省,39,64.6,94.83%,2987,0.622,13,——,0,48,650,
104,南京信息工程大学,江苏省,38.8,59.2,92.17%,3295,0.777,44,——,144593,32,5018,
